"external/ns3_step","ppo_morabito_ns3_20ue_20260508_160337 - external/aggregate_throughput_mbps","ppo_morabito_ns3_20ue_20260508_160337 - external/aggregate_throughput_mbps__MIN","ppo_morabito_ns3_20ue_20260508_160337 - external/aggregate_throughput_mbps__MAX","ppo_morabito_ns3_20ue_20260508_160337 - _step","ppo_morabito_ns3_20ue_20260508_160337 - _step__MIN","ppo_morabito_ns3_20ue_20260508_160337 - _step__MAX","a2c_morabito_ns3_20ue_20260508_160335 - external/aggregate_throughput_mbps","a2c_morabito_ns3_20ue_20260508_160335 - external/aggregate_throughput_mbps__MIN","a2c_morabito_ns3_20ue_20260508_160335 - external/aggregate_throughput_mbps__MAX","a2c_morabito_ns3_20ue_20260508_160335 - _step","a2c_morabito_ns3_20ue_20260508_160335 - _step__MIN","a2c_morabito_ns3_20ue_20260508_160335 - _step__MAX","dqn_morabito_ns3_20ue_20260508_160334 - external/aggregate_throughput_mbps","dqn_morabito_ns3_20ue_20260508_160334 - external/aggregate_throughput_mbps__MIN","dqn_morabito_ns3_20ue_20260508_160334 - external/aggregate_throughput_mbps__MAX","dqn_morabito_ns3_20ue_20260508_160334 - _step","dqn_morabito_ns3_20ue_20260508_160334 - _step__MIN","dqn_morabito_ns3_20ue_20260508_160334 - _step__MAX","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/aggregate_throughput_mbps","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/aggregate_throughput_mbps__MIN","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/aggregate_throughput_mbps__MAX","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step__MIN","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step__MAX","2026-05-08_13-32 - external/aggregate_throughput_mbps","2026-05-08_13-32 - external/aggregate_throughput_mbps__MIN","2026-05-08_13-32 - external/aggregate_throughput_mbps__MAX","2026-05-08_13-32 - _step","2026-05-08_13-32 - _step__MIN","2026-05-08_13-32 - _step__MAX","a2c_morabito_ns3_20ue_20260507_232704 - external/aggregate_throughput_mbps","a2c_morabito_ns3_20ue_20260507_232704 - external/aggregate_throughput_mbps__MIN","a2c_morabito_ns3_20ue_20260507_232704 - external/aggregate_throughput_mbps__MAX","a2c_morabito_ns3_20ue_20260507_232704 - _step","a2c_morabito_ns3_20ue_20260507_232704 - _step__MIN","a2c_morabito_ns3_20ue_20260507_232704 - _step__MAX","ppo_morabito_ns3_20ue_20260507_232608 - external/aggregate_throughput_mbps","ppo_morabito_ns3_20ue_20260507_232608 - external/aggregate_throughput_mbps__MIN","ppo_morabito_ns3_20ue_20260507_232608 - external/aggregate_throughput_mbps__MAX","ppo_morabito_ns3_20ue_20260507_232608 - _step","ppo_morabito_ns3_20ue_20260507_232608 - _step__MIN","ppo_morabito_ns3_20ue_20260507_232608 - _step__MAX","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/aggregate_throughput_mbps","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/aggregate_throughput_mbps__MIN","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/aggregate_throughput_mbps__MAX","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step__MIN","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step__MAX","dqn_morabito_ns3_20ue_20260507_232604 - external/aggregate_throughput_mbps","dqn_morabito_ns3_20ue_20260507_232604 - external/aggregate_throughput_mbps__MIN","dqn_morabito_ns3_20ue_20260507_232604 - external/aggregate_throughput_mbps__MAX","dqn_morabito_ns3_20ue_20260507_232604 - _step","dqn_morabito_ns3_20ue_20260507_232604 - _step__MIN","dqn_morabito_ns3_20ue_20260507_232604 - _step__MAX"
"541","18.35","18.35","18.35","541","541","541","34.3","34.3","34.3","541","541","541","31.45","31.45","31.45","541","541","541","19.22","19.22","19.22","541","541","541","30.841","30.841","30.841","57007","57007","57007","","","","","","","","","","","","","","","","","","","","","","","",""
"542","36.135","36.135","36.135","542","542","542","33.158","33.158","33.158","542","542","542","38.481","38.481","38.481","542","542","542","34.216","34.216","34.216","542","542","542","32.969","32.969","32.969","57066","57066","57066","","","","","","","","","","","","","","","","","","","","","","","",""
"543","36.082","36.082","36.082","543","543","543","40.494","40.494","40.494","543","543","543","33.524","33.524","33.524","543","543","543","33.368","33.368","33.368","543","543","543","38.985","38.985","38.985","57121","57121","57121","","","","","","","","","","","","","","","","","","","","","","","",""
"544","32.781","32.781","32.781","544","544","544","37.277","37.277","37.277","544","544","544","40.725","40.725","40.725","544","544","544","36.218","36.218","36.218","544","544","544","29.552","29.552","29.552","57180","57180","57180","","","","","","","","","","","","","","","","","","","","","","","",""
"545","36.606","36.606","36.606","545","545","545","36.459","36.459","36.459","545","545","545","37.298","37.298","37.298","545","545","545","38.921","38.921","38.921","545","545","545","35.83","35.83","35.83","57240","57240","57240","","","","","","","","","","","","","","","","","","","","","","","",""
"546","18.413","18.413","18.413","546","546","546","32.33","32.33","32.33","546","546","546","34.908","34.908","34.908","546","546","546","38.608","38.608","38.608","546","546","546","41.761","41.761","41.761","57300","57300","57300","","","","","","","","","","","","","","","","","","","","","","","",""
"547","17.857","17.857","17.857","547","547","547","39.981","39.981","39.981","547","547","547","34.572","34.572","34.572","547","547","547","17.857","17.857","17.857","547","547","547","33.169","33.169","33.169","57359","57359","57359","","","","","","","","","","","","","","","","","","","","","","","",""
"548","30.779","30.779","30.779","548","548","548","32.634","32.634","32.634","548","548","548","38.618","38.618","38.618","548","548","548","37.213","37.213","37.213","548","548","548","40.494","40.494","40.494","57414","57414","57414","","","","","","","","","","","","","","","","","","","","","","","",""
"549","17.92","17.92","17.92","549","549","549","33.745","33.745","33.745","549","549","549","17.983","17.983","17.983","549","549","549","35.526","35.526","35.526","549","549","549","33.472","33.472","33.472","57474","57474","57474","","","","","","","","","","","","","","","","","","","","","","","",""
"550","18.444","18.444","18.444","550","550","550","39.404","39.404","39.404","550","550","550","36.134","36.134","36.134","550","550","550","36.05","36.05","36.05","550","550","550","29.899","29.899","29.899","57534","57534","57534","","","","","","","","","","","","","","","","","","","","","","","",""
"551","35.066","35.066","35.066","551","551","551","17.931","17.931","17.931","551","551","551","17.669","17.669","17.669","551","551","551","35.369","35.369","35.369","551","551","551","37.077","37.077","37.077","57594","57594","57594","","","","","","","","","","","","","","","","","","","","","","","",""
"552","35.557","35.557","35.557","552","552","552","35.327","35.327","35.327","552","552","552","17.637","17.637","17.637","552","552","552","35.463","35.463","35.463","552","552","552","36.27","36.27","36.27","57652","57652","57652","","","","","","","","","","","","","","","","","","","","","","","",""
"553","34.111","34.111","34.111","553","553","553","33.263","33.263","33.263","553","553","553","32.383","32.383","32.383","553","553","553","17.952","17.952","17.952","553","553","553","29.73","29.73","29.73","57707","57707","57707","","","","","","","","","","","","","","","","","","","","","","","",""
"554","20.718","20.718","20.718","554","554","554","38.838","38.838","38.838","554","554","554","21.641","21.641","21.641","554","554","554","36.375","36.375","36.375","554","554","554","37.025","37.025","37.025","57765","57765","57765","","","","","","","","","","","","","","","","","","","","","","","",""
"555","18.161","18.161","18.161","555","555","555","35.662","35.662","35.662","555","555","555","18.287","18.287","18.287","555","555","555","36.753","36.753","36.753","555","555","555","30.821","30.821","30.821","57825","57825","57825","","","","","","","","","","","","","","","","","","","","","","","",""
"556","17.931","17.931","17.931","556","556","556","36.868","36.868","36.868","556","556","556","17.931","17.931","17.931","556","556","556","35.327","35.327","35.327","556","556","556","34.321","34.321","34.321","57883","57883","57883","","","","","","","","","","","","","","","","","","","","","","","",""
"557","34.782","34.782","34.782","557","557","557","35.893","35.893","35.893","557","557","557","17.92","17.92","17.92","557","557","557","34.751","34.751","34.751","557","557","557","30.129","30.129","30.129","57942","57942","57942","","","","","","","","","","","","","","","","","","","","","","","",""
"558","19.44","19.44","19.44","558","558","558","31.428","31.428","31.428","558","558","558","18.371","18.371","18.371","558","558","558","37.57","37.57","37.57","558","558","558","32.854","32.854","32.854","57996","57996","57996","","","","","","","","","","","","","","","","","","","","","","","",""
"559","18.245","18.245","18.245","559","559","559","20.415","20.415","20.415","559","559","559","35.945","35.945","35.945","559","559","559","36.805","36.805","36.805","559","559","559","33.535","33.535","33.535","58054","58054","58054","","","","","","","","","","","","","","","","","","","","","","","",""
"560","36.417","36.417","36.417","560","560","560","34.897","34.897","34.897","560","560","560","34.059","34.059","34.059","560","560","560","36.323","36.323","36.323","560","560","560","30.632","30.632","30.632","58115","58115","58115","","","","","","","","","","","","","","","","","","","","","","","",""
"561","36.166","36.166","36.166","561","561","561","36.459","36.459","36.459","561","561","561","20.75","20.75","20.75","561","561","561","35.558","35.558","35.558","561","561","561","34.143","34.143","34.143","58175","58175","58175","","","","","","","","","","","","","","","","","","","","","","","",""
"562","36.344","36.344","36.344","562","562","562","37.79","37.79","37.79","562","562","562","18.119","18.119","18.119","562","562","562","36.281","36.281","36.281","562","562","562","33.043","33.043","33.043","58234","58234","58234","","","","","","","","","","","","","","","","","","","","","","","",""
"563","18.235","18.235","18.235","563","563","563","34.458","34.458","34.458","563","563","563","18.004","18.004","18.004","563","563","563","36.186","36.186","36.186","563","563","563","34.625","34.625","34.625","58289","58289","58289","","","","","","","","","","","","","","","","","","","","","","","",""
"564","35.589","35.589","35.589","564","564","564","19.492","19.492","19.492","564","564","564","17.847","17.847","17.847","564","564","564","36.48","36.48","36.48","564","564","564","35.222","35.222","35.222","58349","58349","58349","","","","","","","","","","","","","","","","","","","","","","","",""
"565","32.047","32.047","32.047","565","565","565","18.591","18.591","18.591","565","565","565","18.56","18.56","18.56","565","565","565","36.448","36.448","36.448","565","565","565","32.33","32.33","32.33","58410","58410","58410","","","","","","","","","","","","","","","","","","","","","","","",""
"566","39.446","39.446","39.446","566","566","566","31.859","31.859","31.859","566","566","566","17.878","17.878","17.878","566","566","566","17.878","17.878","17.878","566","566","566","35.809","35.809","35.809","58471","58471","58471","","","","","","","","","","","","","","","","","","","","","","","",""
"567","37.078","37.078","37.078","567","567","567","39.98","39.98","39.98","567","567","567","17.994","17.994","17.994","567","567","567","17.994","17.994","17.994","567","567","567","37.884","37.884","37.884","58532","58532","58532","","","","","","","","","","","","","","","","","","","","","","","",""
"568","32.645","32.645","32.645","568","568","568","35.569","35.569","35.569","568","568","568","30.789","30.789","30.789","568","568","568","35.411","35.411","35.411","568","568","568","31.576","31.576","31.576","58586","58586","58586","","","","","","","","","","","","","","","","","","","","","","","",""
"569","21.169","21.169","21.169","569","569","569","36.081","36.081","36.081","569","569","569","18.402","18.402","18.402","569","569","569","35.819","35.819","35.819","569","569","569","34.227","34.227","34.227","58645","58645","58645","","","","","","","","","","","","","","","","","","","","","","","",""
"570","33.231","33.231","33.231","570","570","570","34.394","34.394","34.394","570","570","570","18.245","18.245","18.245","570","570","570","18.14","18.14","18.14","570","570","570","31.69","31.69","31.69","58706","58706","58706","","","","","","","","","","","","","","","","","","","","","","","",""
"571","18.706","18.706","18.706","571","571","571","19.754","19.754","19.754","571","571","571","35.149","35.149","35.149","571","571","571","36.102","36.102","36.102","571","571","571","29.93","29.93","29.93","58766","58766","58766","","","","","","","","","","","","","","","","","","","","","","","",""
"572","36.155","36.155","36.155","572","572","572","18.392","18.392","18.392","572","572","572","18.979","18.979","18.979","572","572","572","18.277","18.277","18.277","572","572","572","32.142","32.142","32.142","58826","58826","58826","","","","","","","","","","","","","","","","","","","","","","","",""
"573","36.868","36.868","36.868","573","573","573","18.465","18.465","18.465","573","573","573","36.459","36.459","36.459","573","573","573","18.465","18.465","18.465","573","573","573","33.116","33.116","33.116","58880","58880","58880","","","","","","","","","","","","","","","","","","","","","","","",""
"574","35.359","35.359","35.359","574","574","574","35.065","35.065","35.065","574","574","574","35.799","35.799","35.799","574","574","574","34.646","34.646","34.646","574","574","574","31.376","31.376","31.376","58940","58940","58940","","","","","","","","","","","","","","","","","","","","","","","",""
"575","31.984","31.984","31.984","575","575","575","17.48","17.48","17.48","575","575","575","34.845","34.845","34.845","575","575","575","18.423","18.423","18.423","575","575","575","33.545","33.545","33.545","59000","59000","59000","","","","","","","","","","","","","","","","","","","","","","","",""
"576","18.151","18.151","18.151","576","576","576","30.307","30.307","30.307","576","576","576","35.453","35.453","35.453","576","576","576","18.109","18.109","18.109","576","576","576","31.732","31.732","31.732","59059","59059","59059","","","","","","","","","","","","","","","","","","","","","","","",""
"577","17.973","17.973","17.973","577","577","577","41.311","41.311","41.311","577","577","577","36.239","36.239","36.239","577","577","577","17.973","17.973","17.973","577","577","577","35.464","35.464","35.464","59118","59118","59118","","","","","","","","","","","","","","","","","","","","","","","",""
"578","36.375","36.375","36.375","578","578","578","18.329","18.329","18.329","578","578","578","36.145","36.145","36.145","578","578","578","18.109","18.109","18.109","578","578","578","33.221","33.221","33.221","59172","59172","59172","","","","","","","","","","","","","","","","","","","","","","","",""
"579","32.34","32.34","32.34","579","579","579","35.495","35.495","35.495","579","579","579","35.861","35.861","35.861","579","579","579","31.889","31.889","31.889","579","579","579","27.96","27.96","27.96","59231","59231","59231","","","","","","","","","","","","","","","","","","","","","","","",""
"580","31.763","31.763","31.763","580","580","580","30.716","30.716","30.716","580","580","580","31.198","31.198","31.198","580","580","580","18.14","18.14","18.14","580","580","580","33.263","33.263","33.263","59291","59291","59291","","","","","","","","","","","","","","","","","","","","","","","",""
"581","17.983","17.983","17.983","581","581","581","20.97","20.97","20.97","581","581","581","41.374","41.374","41.374","581","581","581","17.962","17.962","17.962","581","581","581","34.521","34.521","34.521","59350","59350","59350","","","","","","","","","","","","","","","","","","","","","","","",""
"582","33.21","33.21","33.21","582","582","582","29.375","29.375","29.375","582","582","582","36.323","36.323","36.323","582","582","582","17.522","17.522","17.522","582","582","582","29.489","29.489","29.489","59407","59407","59407","","","","","","","","","","","","","","","","","","","","","","","",""
"583","31.282","31.282","31.282","583","583","583","39.456","39.456","39.456","583","583","583","35.746","35.746","35.746","583","583","583","36.135","36.135","36.135","583","583","583","31.586","31.586","31.586","59464","59464","59464","","","","","","","","","","","","","","","","","","","","","","","",""
"584","17.931","17.931","17.931","584","584","584","19.807","19.807","19.807","584","584","584","36.071","36.071","36.071","584","584","584","18.088","18.088","18.088","584","584","584","31.355","31.355","31.355","59521","59521","59521","","","","","","","","","","","","","","","","","","","","","","","",""
"585","35.683","35.683","35.683","585","585","585","34.51","34.51","34.51","585","585","585","35.683","35.683","35.683","585","585","585","17.994","17.994","17.994","585","585","585","29.878","29.878","29.878","59581","59581","59581","","","","","","","","","","","","","","","","","","","","","","","",""
"586","35.201","35.201","35.201","586","586","586","18.193","18.193","18.193","586","586","586","35.861","35.861","35.861","586","586","586","35.201","35.201","35.201","586","586","586","31.282","31.282","31.282","59642","59642","59642","","","","","","","","","","","","","","","","","","","","","","","",""
"587","36.438","36.438","36.438","587","587","587","35.274","35.274","35.274","587","587","587","35.568","35.568","35.568","587","587","587","35.641","35.641","35.641","587","587","587","32.707","32.707","32.707","59700","59700","59700","","","","","","","","","","","","","","","","","","","","","","","",""
"588","18.277","18.277","18.277","588","588","588","35.82","35.82","35.82","588","588","588","35.338","35.338","35.338","588","588","588","36.428","36.428","36.428","588","588","588","36.323","36.323","36.323","59757","59757","59757","","","","","","","","","","","","","","","","","","","","","","","",""
"589","36.144","36.144","36.144","589","589","589","19.22","19.22","19.22","589","589","589","33.724","33.724","33.724","589","589","589","36.26","36.26","36.26","589","589","589","36.229","36.229","36.229","59816","59816","59816","","","","","","","","","","","","","","","","","","","","","","","",""
"590","32.361","32.361","32.361","590","590","590","34.95","34.95","34.95","590","590","590","38.89","38.89","38.89","590","590","590","35.872","35.872","35.872","590","590","590","35.233","35.233","35.233","59876","59876","59876","","","","","","","","","","","","","","","","","","","","","","","",""
"591","38.838","38.838","38.838","591","591","591","36.323","36.323","36.323","591","591","591","18.381","18.381","18.381","591","591","591","35.935","35.935","35.935","591","591","591","33.619","33.619","33.619","59936","59936","59936","","","","","","","","","","","","","","","","","","","","","","","",""
"592","36.354","36.354","36.354","592","592","592","18.748","18.748","18.748","592","592","592","40.189","40.189","40.189","592","592","592","35.683","35.683","35.683","592","592","592","28.871","28.871","28.871","59995","59995","59995","","","","","","","","","","","","","","","","","","","","","","","",""
"593","36.459","36.459","36.459","593","593","593","31.45","31.45","31.45","593","593","593","36.857","36.857","36.857","593","593","593","32.121","32.121","32.121","593","593","593","33.106","33.106","33.106","60050","60050","60050","","","","","","","","","","","","","","","","","","","","","","","",""
"594","35.757","35.757","35.757","594","594","594","40.86","40.86","40.86","594","594","594","35.065","35.065","35.065","594","594","594","40.085","40.085","40.085","594","594","594","36.427","36.427","36.427","60107","60107","60107","","","","","","","","","","","","","","","","","","","","","","","",""
"595","36.302","36.302","36.302","595","595","595","35.243","35.243","35.243","595","595","595","25.685","25.685","25.685","595","595","595","30.139","30.139","30.139","595","595","595","32.225","32.225","32.225","60168","60168","60168","","","","","","","","","","","","","","","","","","","","","","","",""
"596","30.977","30.977","30.977","596","596","596","34.405","34.405","34.405","596","596","596","25.57","25.57","25.57","596","596","596","42.443","42.443","42.443","596","596","596","32.55","32.55","32.55","60229","60229","60229","","","","","","","","","","","","","","","","","","","","","","","",""
"597","28.923","28.923","28.923","597","597","597","38.261","38.261","38.261","597","597","597","52.64","52.64","52.64","597","597","597","30.947","30.947","30.947","597","597","597","39.823","39.823","39.823","60288","60288","60288","","","","","","","","","","","","","","","","","","","","","","","",""
"598","35.024","35.024","35.024","598","598","598","36.05","36.05","36.05","598","598","598","35.893","35.893","35.893","598","598","598","38.387","38.387","38.387","598","598","598","29.375","29.375","29.375","60343","60343","60343","","","","","","","","","","","","","","","","","","","","","","","",""
"599","47.38","47.38","47.38","599","599","599","34.51","34.51","34.51","599","599","599","35.463","35.463","35.463","599","599","599","34.017","34.017","34.017","599","599","599","29.564","29.564","29.564","60402","60402","60402","","","","","","","","","","","","","","","","","","","","","","","",""
"600","34.122","34.122","34.122","600","600","600","35.82","35.82","35.82","600","600","600","35.264","35.264","35.264","600","600","600","32.582","32.582","32.582","600","600","600","30.748","30.748","30.748","60461","60461","60461","","","","","","","","","","","","","","","","","","","","","","","",""
"601","38.272","38.272","38.272","601","601","601","34.017","34.017","34.017","601","601","601","31.533","31.533","31.533","601","601","601","36.7","36.7","36.7","601","601","601","29.909","29.909","29.909","60522","60522","60522","","","","","","","","","","","","","","","","","","","","","","","",""
"602","35.211","35.211","35.211","602","602","602","19.073","19.073","19.073","602","602","602","38.429","38.429","38.429","602","602","602","39.226","39.226","39.226","602","602","602","34.195","34.195","34.195","60581","60581","60581","","","","","","","","","","","","","","","","","","","","","","","",""
"603","35.505","35.505","35.505","603","603","603","36.051","36.051","36.051","603","603","603","38.083","38.083","38.083","603","603","603","39.215","39.215","39.215","603","603","603","31.198","31.198","31.198","60636","60636","60636","","","","","","","","","","","","","","","","","","","","","","","",""
"604","37.203","37.203","37.203","604","604","604","36.019","36.019","36.019","604","604","604","35.694","35.694","35.694","604","604","604","30.307","30.307","30.307","604","604","604","39.079","39.079","39.079","60694","60694","60694","","","","","","","","","","","","","","","","","","","","","","","",""
"605","35.862","35.862","35.862","605","605","605","36.124","36.124","36.124","605","605","605","36.805","36.805","36.805","605","605","605","37.622","37.622","37.622","605","605","605","34.238","34.238","34.238","60755","60755","60755","","","","","","","","","","","","","","","","","","","","","","","",""
"606","33.597","33.597","33.597","606","606","606","18.14","18.14","18.14","606","606","606","35.956","35.956","35.956","606","606","606","33.954","33.954","33.954","606","606","606","33.808","33.808","33.808","60814","60814","60814","","","","","","","","","","","","","","","","","","","","","","","",""
"607","18.35","18.35","18.35","607","607","607","36.596","36.596","36.596","607","607","607","36.658","36.658","36.658","607","607","607","39.32","39.32","39.32","607","607","607","39.394","39.394","39.394","60872","60872","60872","","","","","","","","","","","","","","","","","","","","","","","",""
"608","30.308","30.308","30.308","608","608","608","35.977","35.977","35.977","608","608","608","36.229","36.229","36.229","608","608","608","20.006","20.006","20.006","608","608","608","32.865","32.865","32.865","60928","60928","60928","","","","","","","","","","","","","","","","","","","","","","","",""
"609","17.763","17.763","17.763","609","609","609","36.176","36.176","36.176","609","609","609","34.509","34.509","34.509","609","609","609","35.799","35.799","35.799","609","609","609","32.163","32.163","32.163","60983","60983","60983","","","","","","","","","","","","","","","","","","","","","","","",""
"610","34.091","34.091","34.091","610","610","610","35.474","35.474","35.474","610","610","610","36.71","36.71","36.71","610","610","610","32.277","32.277","32.277","610","610","610","30.716","30.716","30.716","61042","61042","61042","","","","","","","","","","","","","","","","","","","","","","","",""
"611","17.878","17.878","17.878","611","611","611","17.679","17.679","17.679","611","611","611","35.715","35.715","35.715","611","611","611","34.007","34.007","34.007","611","611","611","33.65","33.65","33.65","61101","61101","61101","","","","","","","","","","","","","","","","","","","","","","","",""
"612","35.631","35.631","35.631","612","612","612","17.868","17.868","17.868","612","612","612","36.217","36.217","36.217","612","612","612","45.943","45.943","45.943","612","612","612","31.67","31.67","31.67","61162","61162","61162","","","","","","","","","","","","","","","","","","","","","","","",""
"613","29.417","29.417","29.417","613","613","613","18.046","18.046","18.046","613","613","613","34.154","34.154","34.154","613","613","613","36.27","36.27","36.27","613","613","613","33.975","33.975","33.975","61217","61217","61217","","","","","","","","","","","","","","","","","","","","","","","",""
"614","42.779","42.779","42.779","614","614","614","33.745","33.745","33.745","614","614","614","38.114","38.114","38.114","614","614","614","35.757","35.757","35.757","614","614","614","33.168","33.168","33.168","61276","61276","61276","","","","","","","","","","","","","","","","","","","","","","","",""
"615","18.161","18.161","18.161","615","615","615","32.005","32.005","32.005","615","615","615","36.239","36.239","36.239","615","615","615","36.27","36.27","36.27","615","615","615","31.124","31.124","31.124","61336","61336","61336","","","","","","","","","","","","","","","","","","","","","","","",""
"616","29.783","29.783","29.783","616","616","616","19.807","19.807","19.807","616","616","616","17.941","17.941","17.941","616","616","616","36.27","36.27","36.27","616","616","616","34.352","34.352","34.352","61396","61396","61396","","","","","","","","","","","","","","","","","","","","","","","",""
"617","41.898","41.898","41.898","617","617","617","17.847","17.847","17.847","617","617","617","32.1","32.1","32.1","617","617","617","36.029","36.029","36.029","617","617","617","33.157","33.157","33.157","61455","61455","61455","","","","","","","","","","","","","","","","","","","","","","","",""
"618","18.214","18.214","18.214","618","618","618","35.924","35.924","35.924","618","618","618","39.96","39.96","39.96","618","618","618","36.05","36.05","36.05","618","618","618","31.597","31.597","31.597","61513","61513","61513","","","","","","","","","","","","","","","","","","","","","","","",""
"619","36.103","36.103","36.103","619","619","619","18.633","18.633","18.633","619","619","619","36.019","36.019","36.019","619","619","619","29.929","29.929","29.929","619","619","619","33.378","33.378","33.378","61568","61568","61568","","","","","","","","","","","","","","","","","","","","","","","",""
"620","18.067","18.067","18.067","620","620","620","17.7","17.7","17.7","620","620","620","36.029","36.029","36.029","620","620","620","42.234","42.234","42.234","620","620","620","35.285","35.285","35.285","61626","61626","61626","","","","","","","","","","","","","","","","","","","","","","","",""
"621","35.055","35.055","35.055","621","621","621","17.857","17.857","17.857","621","621","621","35.013","35.013","35.013","621","621","621","30.936","30.936","30.936","621","621","621","38.859","38.859","38.859","61685","61685","61685","","","","","","","","","","","","","","","","","","","","","","","",""
"622","18.727","18.727","18.727","622","622","622","31.439","31.439","31.439","622","622","622","36.983","36.983","36.983","622","622","622","40.913","40.913","40.913","622","622","622","29.007","29.007","29.007","61746","61746","61746","","","","","","","","","","","","","","","","","","","","","","","",""
"623","36.543","36.543","36.543","623","623","623","40.179","40.179","40.179","623","623","623","32.361","32.361","32.361","623","623","623","36.26","36.26","36.26","623","623","623","36.144","36.144","36.144","61806","61806","61806","","","","","","","","","","","","","","","","","","","","","","","",""
"624","35.767","35.767","35.767","624","624","624","37.36","37.36","37.36","624","624","624","39.98","39.98","39.98","624","624","624","35.589","35.589","35.589","624","624","624","31.23","31.23","31.23","61862","61862","61862","","","","","","","","","","","","","","","","","","","","","","","",""
"625","35.642","35.642","35.642","625","625","625","18.182","18.182","18.182","625","625","625","35.421","35.421","35.421","625","625","625","34.573","34.573","34.573","625","625","625","31.366","31.366","31.366","61919","61919","61919","","","","","","","","","","","","","","","","","","","","","","","",""
"626","35.81","35.81","35.81","626","626","626","36.072","36.072","36.072","626","626","626","35.495","35.495","35.495","626","626","626","34.761","34.761","34.761","626","626","626","31.041","31.041","31.041","61978","61978","61978","","","","","","","","","","","","","","","","","","","","","","","",""
"627","35.862","35.862","35.862","627","627","627","17.564","17.564","17.564","627","627","627","36.25","36.25","36.25","627","627","627","34.845","34.845","34.845","627","627","627","37.937","37.937","37.937","62038","62038","62038","","","","","","","","","","","","","","","","","","","","","","","",""
"628","36.113","36.113","36.113","628","628","628","35.683","35.683","35.683","628","628","628","17.973","17.973","17.973","628","628","628","35.852","35.852","35.852","628","628","628","32.309","32.309","32.309","62098","62098","62098","","","","","","","","","","","","","","","","","","","","","","","",""
"629","33.504","33.504","33.504","629","629","629","18.277","18.277","18.277","629","629","629","18.015","18.015","18.015","629","629","629","35.149","35.149","35.149","629","629","629","31.868","31.868","31.868","62154","62154","62154","","","","","","","","","","","","","","","","","","","","","","","",""
"630","20.813","20.813","20.813","630","630","630","32.728","32.728","32.728","630","630","630","18.151","18.151","18.151","630","630","630","37.098","37.098","37.098","630","630","630","32.937","32.937","32.937","62209","62209","62209","","","","","","","","","","","","","","","","","","","","","","","",""
"631","35.515","35.515","35.515","631","631","631","39.541","39.541","39.541","631","631","631","17.784","17.784","17.784","631","631","631","35.736","35.736","35.736","631","631","631","32.372","32.372","32.372","62269","62269","62269","","","","","","","","","","","","","","","","","","","","","","","",""
"632","30.381","30.381","30.381","632","632","632","30.139","30.139","30.139","632","632","632","17.983","17.983","17.983","632","632","632","21.945","21.945","21.945","632","632","632","35.663","35.663","35.663","62330","62330","62330","","","","","","","","","","","","","","","","","","","","","","","",""
"633","41.291","41.291","41.291","633","633","633","36.983","36.983","36.983","633","633","633","17.878","17.878","17.878","633","633","633","31.963","31.963","31.963","633","633","633","31.366","31.366","31.366","62391","62391","62391","","","","","","","","","","","","","","","","","","","","","","","",""
"634","36.082","36.082","36.082","634","634","634","17.836","17.836","17.836","634","634","634","17.795","17.795","17.795","634","634","634","30.297","30.297","30.297","634","634","634","34.771","34.771","34.771","62449","62449","62449","","","","","","","","","","","","","","","","","","","","","","","",""
"635","34.929","34.929","34.929","635","635","635","30.946","30.946","30.946","635","635","635","17.7","17.7","17.7","635","635","635","36.815","36.815","36.815","635","635","635","29.574","29.574","29.574","62504","62504","62504","","","","","","","","","","","","","","","","","","","","","","","",""
"636","18.706","18.706","18.706","636","636","636","40.798","40.798","40.798","636","636","636","18.046","18.046","18.046","636","636","636","29.186","29.186","29.186","636","636","636","29.217","29.217","29.217","62563","62563","62563","","","","","","","","","","","","","","","","","","","","","","","",""
"637","34.28","34.28","34.28","637","637","637","18.476","18.476","18.476","637","637","637","17.983","17.983","17.983","637","637","637","30.925","30.925","30.925","637","637","637","27.52","27.52","27.52","62624","62624","62624","","","","","","","","","","","","","","","","","","","","","","","",""
"638","20.519","20.519","20.519","638","638","638","36.102","36.102","36.102","638","638","638","18.35","18.35","18.35","638","638","638","53.835","53.835","53.835","638","638","638","39.865","39.865","39.865","62685","62685","62685","","","","","","","","","","","","","","","","","","","","","","","",""
"639","18.245","18.245","18.245","639","639","639","33.441","33.441","33.441","639","639","639","18.245","18.245","18.245","639","639","639","34.813","34.813","34.813","639","639","639","40.242","40.242","40.242","62745","62745","62745","","","","","","","","","","","","","","","","","","","","","","","",""
