"external/ns3_step","ppo_morabito_ns3_20ue_20260508_160337 - external/active_gnb_count","ppo_morabito_ns3_20ue_20260508_160337 - external/active_gnb_count__MIN","ppo_morabito_ns3_20ue_20260508_160337 - external/active_gnb_count__MAX","ppo_morabito_ns3_20ue_20260508_160337 - _step","ppo_morabito_ns3_20ue_20260508_160337 - _step__MIN","ppo_morabito_ns3_20ue_20260508_160337 - _step__MAX","a2c_morabito_ns3_20ue_20260508_160335 - external/active_gnb_count","a2c_morabito_ns3_20ue_20260508_160335 - external/active_gnb_count__MIN","a2c_morabito_ns3_20ue_20260508_160335 - external/active_gnb_count__MAX","a2c_morabito_ns3_20ue_20260508_160335 - _step","a2c_morabito_ns3_20ue_20260508_160335 - _step__MIN","a2c_morabito_ns3_20ue_20260508_160335 - _step__MAX","dqn_morabito_ns3_20ue_20260508_160334 - external/active_gnb_count","dqn_morabito_ns3_20ue_20260508_160334 - external/active_gnb_count__MIN","dqn_morabito_ns3_20ue_20260508_160334 - external/active_gnb_count__MAX","dqn_morabito_ns3_20ue_20260508_160334 - _step","dqn_morabito_ns3_20ue_20260508_160334 - _step__MIN","dqn_morabito_ns3_20ue_20260508_160334 - _step__MAX","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/active_gnb_count","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/active_gnb_count__MIN","dueling_dqn_morabito_ns3_20ue_20260508_160331 - external/active_gnb_count__MAX","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step__MIN","dueling_dqn_morabito_ns3_20ue_20260508_160331 - _step__MAX","2026-05-08_13-32 - external/active_gnb_count","2026-05-08_13-32 - external/active_gnb_count__MIN","2026-05-08_13-32 - external/active_gnb_count__MAX","2026-05-08_13-32 - _step","2026-05-08_13-32 - _step__MIN","2026-05-08_13-32 - _step__MAX","a2c_morabito_ns3_20ue_20260507_232704 - external/active_gnb_count","a2c_morabito_ns3_20ue_20260507_232704 - external/active_gnb_count__MIN","a2c_morabito_ns3_20ue_20260507_232704 - external/active_gnb_count__MAX","a2c_morabito_ns3_20ue_20260507_232704 - _step","a2c_morabito_ns3_20ue_20260507_232704 - _step__MIN","a2c_morabito_ns3_20ue_20260507_232704 - _step__MAX","ppo_morabito_ns3_20ue_20260507_232608 - external/active_gnb_count","ppo_morabito_ns3_20ue_20260507_232608 - external/active_gnb_count__MIN","ppo_morabito_ns3_20ue_20260507_232608 - external/active_gnb_count__MAX","ppo_morabito_ns3_20ue_20260507_232608 - _step","ppo_morabito_ns3_20ue_20260507_232608 - _step__MIN","ppo_morabito_ns3_20ue_20260507_232608 - _step__MAX","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/active_gnb_count","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/active_gnb_count__MIN","dueling_dqn_morabito_ns3_20ue_20260507_232606 - external/active_gnb_count__MAX","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step__MIN","dueling_dqn_morabito_ns3_20ue_20260507_232606 - _step__MAX","dqn_morabito_ns3_20ue_20260507_232604 - external/active_gnb_count","dqn_morabito_ns3_20ue_20260507_232604 - external/active_gnb_count__MIN","dqn_morabito_ns3_20ue_20260507_232604 - external/active_gnb_count__MAX","dqn_morabito_ns3_20ue_20260507_232604 - _step","dqn_morabito_ns3_20ue_20260507_232604 - _step__MIN","dqn_morabito_ns3_20ue_20260507_232604 - _step__MAX"
"581","5","5","5","581","581","581","6","6","6","581","581","581","6","6","6","581","581","581","6","6","6","581","581","581","5","5","5","59350","59350","59350","","","","","","","","","","","","","","","","","","","","","","","",""
"582","5","5","5","582","582","582","5","5","5","582","582","582","6","6","6","582","582","582","6","6","6","582","582","582","5","5","5","59407","59407","59407","","","","","","","","","","","","","","","","","","","","","","","",""
"583","4","4","4","583","583","583","4","4","4","583","583","583","6","6","6","583","583","583","5","5","5","583","583","583","5","5","5","59464","59464","59464","","","","","","","","","","","","","","","","","","","","","","","",""
"584","1","1","1","584","584","584","4","4","4","584","584","584","6","6","6","584","584","584","6","6","6","584","584","584","5","5","5","59521","59521","59521","","","","","","","","","","","","","","","","","","","","","","","",""
"585","6","6","6","585","585","585","5","5","5","585","585","585","6","6","6","585","585","585","6","6","6","585","585","585","5","5","5","59581","59581","59581","","","","","","","","","","","","","","","","","","","","","","","",""
"586","3","3","3","586","586","586","8","8","8","586","586","586","6","6","6","586","586","586","6","6","6","586","586","586","5","5","5","59642","59642","59642","","","","","","","","","","","","","","","","","","","","","","","",""
"587","8","8","8","587","587","587","5","5","5","587","587","587","6","6","6","587","587","587","6","6","6","587","587","587","5","5","5","59700","59700","59700","","","","","","","","","","","","","","","","","","","","","","","",""
"588","3","3","3","588","588","588","5","5","5","588","588","588","6","6","6","588","588","588","6","6","6","588","588","588","5","5","5","59757","59757","59757","","","","","","","","","","","","","","","","","","","","","","","",""
"589","8","8","8","589","589","589","6","6","6","589","589","589","4","4","4","589","589","589","6","6","6","589","589","589","5","5","5","59816","59816","59816","","","","","","","","","","","","","","","","","","","","","","","",""
"590","7","7","7","590","590","590","4","4","4","590","590","590","7","7","7","590","590","590","6","6","6","590","590","590","5","5","5","59876","59876","59876","","","","","","","","","","","","","","","","","","","","","","","",""
"591","8","8","8","591","591","591","7","7","7","591","591","591","3","3","3","591","591","591","6","6","6","591","591","591","5","5","5","59936","59936","59936","","","","","","","","","","","","","","","","","","","","","","","",""
"592","8","8","8","592","592","592","2","2","2","592","592","592","6","6","6","592","592","592","6","6","6","592","592","592","5","5","5","59995","59995","59995","","","","","","","","","","","","","","","","","","","","","","","",""
"593","7","7","7","593","593","593","4","4","4","593","593","593","7","7","7","593","593","593","6","6","6","593","593","593","5","5","5","60050","60050","60050","","","","","","","","","","","","","","","","","","","","","","","",""
"594","7","7","7","594","594","594","7","7","7","594","594","594","7","7","7","594","594","594","5","5","5","594","594","594","5","5","5","60107","60107","60107","","","","","","","","","","","","","","","","","","","","","","","",""
"595","8","8","8","595","595","595","5","5","5","595","595","595","7","7","7","595","595","595","6","6","6","595","595","595","5","5","5","60168","60168","60168","","","","","","","","","","","","","","","","","","","","","","","",""
"596","6","6","6","596","596","596","4","4","4","596","596","596","7","7","7","596","596","596","4","4","4","596","596","596","5","5","5","60229","60229","60229","","","","","","","","","","","","","","","","","","","","","","","",""
"597","5","5","5","597","597","597","7","7","7","597","597","597","5","5","5","597","597","597","6","6","6","597","597","597","5","5","5","60288","60288","60288","","","","","","","","","","","","","","","","","","","","","","","",""
"598","3","3","3","598","598","598","7","7","7","598","598","598","7","7","7","598","598","598","6","6","6","598","598","598","5","5","5","60343","60343","60343","","","","","","","","","","","","","","","","","","","","","","","",""
"599","5","5","5","599","599","599","4","4","4","599","599","599","7","7","7","599","599","599","6","6","6","599","599","599","5","5","5","60402","60402","60402","","","","","","","","","","","","","","","","","","","","","","","",""
"600","6","6","6","600","600","600","7","7","7","600","600","600","6","6","6","600","600","600","6","6","6","600","600","600","5","5","5","60461","60461","60461","","","","","","","","","","","","","","","","","","","","","","","",""
"601","6","6","6","601","601","601","5","5","5","601","601","601","3","3","3","601","601","601","4","4","4","601","601","601","5","5","5","60522","60522","60522","","","","","","","","","","","","","","","","","","","","","","","",""
"602","9","9","9","602","602","602","7","7","7","602","602","602","7","7","7","602","602","602","6","6","6","602","602","602","5","5","5","60581","60581","60581","","","","","","","","","","","","","","","","","","","","","","","",""
"603","6","6","6","603","603","603","7","7","7","603","603","603","7","7","7","603","603","603","6","6","6","603","603","603","5","5","5","60636","60636","60636","","","","","","","","","","","","","","","","","","","","","","","",""
"604","6","6","6","604","604","604","6","6","6","604","604","604","5","5","5","604","604","604","6","6","6","604","604","604","5","5","5","60694","60694","60694","","","","","","","","","","","","","","","","","","","","","","","",""
"605","7","7","7","605","605","605","6","6","6","605","605","605","7","7","7","605","605","605","6","6","6","605","605","605","5","5","5","60755","60755","60755","","","","","","","","","","","","","","","","","","","","","","","",""
"606","6","6","6","606","606","606","5","5","5","606","606","606","7","7","7","606","606","606","4","4","4","606","606","606","5","5","5","60814","60814","60814","","","","","","","","","","","","","","","","","","","","","","","",""
"607","1","1","1","607","607","607","5","5","5","607","607","607","5","5","5","607","607","607","6","6","6","607","607","607","5","5","5","60872","60872","60872","","","","","","","","","","","","","","","","","","","","","","","",""
"608","7","7","7","608","608","608","6","6","6","608","608","608","7","7","7","608","608","608","4","4","4","608","608","608","5","5","5","60928","60928","60928","","","","","","","","","","","","","","","","","","","","","","","",""
"609","3","3","3","609","609","609","4","4","4","609","609","609","5","5","5","609","609","609","4","4","4","609","609","609","5","5","5","60983","60983","60983","","","","","","","","","","","","","","","","","","","","","","","",""
"610","5","5","5","610","610","610","6","6","6","610","610","610","5","5","5","610","610","610","4","4","4","610","610","610","5","5","5","61042","61042","61042","","","","","","","","","","","","","","","","","","","","","","","",""
"611","9","9","9","611","611","611","5","5","5","611","611","611","8","8","8","611","611","611","4","4","4","611","611","611","5","5","5","61101","61101","61101","","","","","","","","","","","","","","","","","","","","","","","",""
"612","3","3","3","612","612","612","3","3","3","612","612","612","5","5","5","612","612","612","3","3","3","612","612","612","5","5","5","61162","61162","61162","","","","","","","","","","","","","","","","","","","","","","","",""
"613","3","3","3","613","613","613","3","3","3","613","613","613","5","5","5","613","613","613","5","5","5","613","613","613","5","5","5","61217","61217","61217","","","","","","","","","","","","","","","","","","","","","","","",""
"614","8","8","8","614","614","614","5","5","5","614","614","614","5","5","5","614","614","614","5","5","5","614","614","614","5","5","5","61276","61276","61276","","","","","","","","","","","","","","","","","","","","","","","",""
"615","5","5","5","615","615","615","2","2","2","615","615","615","5","5","5","615","615","615","7","7","7","615","615","615","5","5","5","61336","61336","61336","","","","","","","","","","","","","","","","","","","","","","","",""
"616","5","5","5","616","616","616","10","10","10","616","616","616","3","3","3","616","616","616","5","5","5","616","616","616","5","5","5","61396","61396","61396","","","","","","","","","","","","","","","","","","","","","","","",""
"617","5","5","5","617","617","617","6","6","6","617","617","617","6","6","6","617","617","617","5","5","5","617","617","617","5","5","5","61455","61455","61455","","","","","","","","","","","","","","","","","","","","","","","",""
"618","4","4","4","618","618","618","7","7","7","618","618","618","5","5","5","618","618","618","7","7","7","618","618","618","5","5","5","61513","61513","61513","","","","","","","","","","","","","","","","","","","","","","","",""
"619","10","10","10","619","619","619","6","6","6","619","619","619","5","5","5","619","619","619","6","6","6","619","619","619","5","5","5","61568","61568","61568","","","","","","","","","","","","","","","","","","","","","","","",""
"620","3","3","3","620","620","620","4","4","4","620","620","620","5","5","5","620","620","620","5","5","5","620","620","620","5","5","5","61626","61626","61626","","","","","","","","","","","","","","","","","","","","","","","",""
"621","8","8","8","621","621","621","4","4","4","621","621","621","5","5","5","621","621","621","6","6","6","621","621","621","5","5","5","61685","61685","61685","","","","","","","","","","","","","","","","","","","","","","","",""
"622","5","5","5","622","622","622","8","8","8","622","622","622","5","5","5","622","622","622","5","5","5","622","622","622","5","5","5","61746","61746","61746","","","","","","","","","","","","","","","","","","","","","","","",""
"623","6","6","6","623","623","623","5","5","5","623","623","623","4","4","4","623","623","623","5","5","5","623","623","623","5","5","5","61806","61806","61806","","","","","","","","","","","","","","","","","","","","","","","",""
"624","7","7","7","624","624","624","8","8","8","624","624","624","5","5","5","624","624","624","5","5","5","624","624","624","5","5","5","61862","61862","61862","","","","","","","","","","","","","","","","","","","","","","","",""
"625","6","6","6","625","625","625","5","5","5","625","625","625","5","5","5","625","625","625","5","5","5","625","625","625","5","5","5","61919","61919","61919","","","","","","","","","","","","","","","","","","","","","","","",""
"626","7","7","7","626","626","626","6","6","6","626","626","626","5","5","5","626","626","626","5","5","5","626","626","626","5","5","5","61978","61978","61978","","","","","","","","","","","","","","","","","","","","","","","",""
"627","6","6","6","627","627","627","6","6","6","627","627","627","5","5","5","627","627","627","5","5","5","627","627","627","5","5","5","62038","62038","62038","","","","","","","","","","","","","","","","","","","","","","","",""
"628","7","7","7","628","628","628","8","8","8","628","628","628","7","7","7","628","628","628","5","5","5","628","628","628","5","5","5","62098","62098","62098","","","","","","","","","","","","","","","","","","","","","","","",""
"629","5","5","5","629","629","629","3","3","3","629","629","629","7","7","7","629","629","629","5","5","5","629","629","629","5","5","5","62154","62154","62154","","","","","","","","","","","","","","","","","","","","","","","",""
"630","6","6","6","630","630","630","6","6","6","630","630","630","7","7","7","630","630","630","5","5","5","630","630","630","5","5","5","62209","62209","62209","","","","","","","","","","","","","","","","","","","","","","","",""
"631","5","5","5","631","631","631","7","7","7","631","631","631","7","7","7","631","631","631","5","5","5","631","631","631","5","5","5","62269","62269","62269","","","","","","","","","","","","","","","","","","","","","","","",""
"632","4","4","4","632","632","632","3","3","3","632","632","632","7","7","7","632","632","632","3","3","3","632","632","632","5","5","5","62330","62330","62330","","","","","","","","","","","","","","","","","","","","","","","",""
"633","7","7","7","633","633","633","7","7","7","633","633","633","7","7","7","633","633","633","5","5","5","633","633","633","5","5","5","62391","62391","62391","","","","","","","","","","","","","","","","","","","","","","","",""
"634","7","7","7","634","634","634","4","4","4","634","634","634","7","7","7","634","634","634","5","5","5","634","634","634","5","5","5","62449","62449","62449","","","","","","","","","","","","","","","","","","","","","","","",""
"635","4","4","4","635","635","635","4","4","4","635","635","635","7","7","7","635","635","635","7","7","7","635","635","635","5","5","5","62504","62504","62504","","","","","","","","","","","","","","","","","","","","","","","",""
"636","5","5","5","636","636","636","6","6","6","636","636","636","5","5","5","636","636","636","5","5","5","636","636","636","5","5","5","62563","62563","62563","","","","","","","","","","","","","","","","","","","","","","","",""
"637","5","5","5","637","637","637","5","5","5","637","637","637","5","5","5","637","637","637","5","5","5","637","637","637","5","5","5","62624","62624","62624","","","","","","","","","","","","","","","","","","","","","","","",""
"638","4","4","4","638","638","638","4","4","4","638","638","638","5","5","5","638","638","638","8","8","8","638","638","638","5","5","5","62685","62685","62685","","","","","","","","","","","","","","","","","","","","","","","",""
"639","7","7","7","639","639","639","6","6","6","639","639","639","5","5","5","639","639","639","5","5","5","639","639","639","5","5","5","62745","62745","62745","","","","","","","","","","","","","","","","","","","","","","","",""
"640","1","1","1","640","640","640","7","7","7","640","640","640","7","7","7","640","640","640","5","5","5","640","640","640","5","5","5","62800","62800","62800","","","","","","","","","","","","","","","","","","","","","","","",""
"641","4","4","4","641","641","641","2","2","2","641","641","641","7","7","7","641","641","641","4","4","4","641","641","641","5","5","5","62859","62859","62859","","","","","","","","","","","","","","","","","","","","","","","",""
"642","7","7","7","642","642","642","5","5","5","642","642","642","5","5","5","642","642","642","5","5","5","642","642","642","5","5","5","62918","62918","62918","","","","","","","","","","","","","","","","","","","","","","","",""
"643","8","8","8","643","643","643","2","2","2","643","643","643","7","7","7","643","643","643","3","3","3","643","643","643","5","5","5","62979","62979","62979","","","","","","","","","","","","","","","","","","","","","","","",""
"644","8","8","8","644","644","644","6","6","6","644","644","644","5","5","5","644","644","644","5","5","5","644","644","644","5","5","5","63033","63033","63033","","","","","","","","","","","","","","","","","","","","","","","",""
"645","6","6","6","645","645","645","4","4","4","645","645","645","7","7","7","645","645","645","8","8","8","645","645","645","5","5","5","63090","63090","63090","","","","","","","","","","","","","","","","","","","","","","","",""
"646","6","6","6","646","646","646","8","8","8","646","646","646","7","7","7","646","646","646","8","8","8","646","646","646","5","5","5","63149","63149","63149","","","","","","","","","","","","","","","","","","","","","","","",""
"647","7","7","7","647","647","647","4","4","4","647","647","647","7","7","7","647","647","647","9","9","9","647","647","647","5","5","5","63208","63208","63208","","","","","","","","","","","","","","","","","","","","","","","",""
"648","3","3","3","648","648","648","7","7","7","648","648","648","7","7","7","648","648","648","8","8","8","648","648","648","5","5","5","63269","63269","63269","","","","","","","","","","","","","","","","","","","","","","","",""
"649","5","5","5","649","649","649","7","7","7","649","649","649","7","7","7","649","649","649","5","5","5","649","649","649","5","5","5","63329","63329","63329","","","","","","","","","","","","","","","","","","","","","","","",""
"650","6","6","6","650","650","650","7","7","7","650","650","650","7","7","7","650","650","650","8","8","8","650","650","650","5","5","5","63388","63388","63388","","","","","","","","","","","","","","","","","","","","","","","",""
"651","6","6","6","651","651","651","6","6","6","651","651","651","7","7","7","651","651","651","8","8","8","651","651","651","5","5","5","63444","63444","63444","","","","","","","","","","","","","","","","","","","","","","","",""
"652","7","7","7","652","652","652","2","2","2","652","652","652","7","7","7","652","652","652","8","8","8","652","652","652","5","5","5","63501","63501","63501","","","","","","","","","","","","","","","","","","","","","","","",""
"653","7","7","7","653","653","653","7","7","7","653","653","653","7","7","7","653","653","653","6","6","6","653","653","653","5","5","5","63562","63562","63562","","","","","","","","","","","","","","","","","","","","","","","",""
"654","4","4","4","654","654","654","5","5","5","654","654","654","7","7","7","654","654","654","5","5","5","654","654","654","5","5","5","63622","63622","63622","","","","","","","","","","","","","","","","","","","","","","","",""
"655","4","4","4","655","655","655","5","5","5","655","655","655","7","7","7","655","655","655","5","5","5","655","655","655","5","5","5","63683","63683","63683","","","","","","","","","","","","","","","","","","","","","","","",""
"656","7","7","7","656","656","656","6","6","6","656","656","656","7","7","7","656","656","656","5","5","5","656","656","656","5","5","5","63740","63740","63740","","","","","","","","","","","","","","","","","","","","","","","",""
"657","7","7","7","657","657","657","5","5","5","657","657","657","7","7","7","657","657","657","5","5","5","657","657","657","5","5","5","63797","63797","63797","","","","","","","","","","","","","","","","","","","","","","","",""
"658","5","5","5","658","658","658","5","5","5","658","658","658","7","7","7","658","658","658","5","5","5","658","658","658","5","5","5","63856","63856","63856","","","","","","","","","","","","","","","","","","","","","","","",""
"659","3","3","3","659","659","659","7","7","7","659","659","659","5","5","5","659","659","659","2","2","2","659","659","659","5","5","5","63917","63917","63917","","","","","","","","","","","","","","","","","","","","","","","",""
"660","5","5","5","660","660","660","7","7","7","660","660","660","5","5","5","660","660","660","5","5","5","660","660","660","5","5","5","63978","63978","63978","","","","","","","","","","","","","","","","","","","","","","","",""
"661","5","5","5","661","661","661","8","8","8","661","661","661","5","5","5","661","661","661","5","5","5","661","661","661","5","5","5","64038","64038","64038","","","","","","","","","","","","","","","","","","","","","","","",""
"662","4","4","4","662","662","662","4","4","4","662","662","662","7","7","7","662","662","662","5","5","5","662","662","662","5","5","5","64091","64091","64091","","","","","","","","","","","","","","","","","","","","","","","",""
"663","5","5","5","663","663","663","5","5","5","663","663","663","5","5","5","663","663","663","5","5","5","663","663","663","5","5","5","64149","64149","64149","","","","","","","","","","","","","","","","","","","","","","","",""
"664","5","5","5","664","664","664","5","5","5","664","664","664","5","5","5","664","664","664","5","5","5","664","664","664","5","5","5","64209","64209","64209","","","","","","","","","","","","","","","","","","","","","","","",""
"665","5","5","5","665","665","665","7","7","7","665","665","665","5","5","5","665","665","665","5","5","5","665","665","665","5","5","5","64270","64270","64270","","","","","","","","","","","","","","","","","","","","","","","",""
"666","7","7","7","666","666","666","4","4","4","666","666","666","5","5","5","666","666","666","5","5","5","666","666","666","5","5","5","64331","64331","64331","","","","","","","","","","","","","","","","","","","","","","","",""
"667","7","7","7","667","667","667","8","8","8","667","667","667","6","6","6","667","667","667","5","5","5","667","667","667","5","5","5","64388","64388","64388","","","","","","","","","","","","","","","","","","","","","","","",""
"668","5","5","5","668","668","668","7","7","7","668","668","668","5","5","5","668","668","668","5","5","5","668","668","668","5","5","5","64445","64445","64445","","","","","","","","","","","","","","","","","","","","","","","",""
"669","6","6","6","669","669","669","6","6","6","669","669","669","4","4","4","669","669","669","7","7","7","669","669","669","5","5","5","64505","64505","64505","","","","","","","","","","","","","","","","","","","","","","","",""
"670","6","6","6","670","670","670","5","5","5","670","670","670","7","7","7","670","670","670","7","7","7","670","670","670","5","5","5","64567","64567","64567","","","","","","","","","","","","","","","","","","","","","","","",""
"671","6","6","6","671","671","671","7","7","7","671","671","671","7","7","7","671","671","671","7","7","7","671","671","671","5","5","5","64628","64628","64628","","","","","","","","","","","","","","","","","","","","","","","",""
"672","6","6","6","672","672","672","3","3","3","672","672","672","7","7","7","672","672","672","7","7","7","672","672","672","5","5","5","64688","64688","64688","","","","","","","","","","","","","","","","","","","","","","","",""
"673","6","6","6","673","673","673","2","2","2","673","673","673","7","7","7","673","673","673","5","5","5","673","673","673","5","5","5","64745","64745","64745","","","","","","","","","","","","","","","","","","","","","","","",""
"674","7","7","7","674","674","674","6","6","6","674","674","674","7","7","7","674","674","674","7","7","7","674","674","674","5","5","5","64802","64802","64802","","","","","","","","","","","","","","","","","","","","","","","",""
"675","3","3","3","675","675","675","6","6","6","675","675","675","6","6","6","675","675","675","8","8","8","675","675","675","5","5","5","64862","64862","64862","","","","","","","","","","","","","","","","","","","","","","","",""
"676","4","4","4","676","676","676","5","5","5","676","676","676","8","8","8","676","676","676","7","7","7","676","676","676","5","5","5","64922","64922","64922","","","","","","","","","","","","","","","","","","","","","","","",""
"677","8","8","8","677","677","677","5","5","5","677","677","677","8","8","8","677","677","677","7","7","7","677","677","677","5","5","5","64981","64981","64981","","","","","","","","","","","","","","","","","","","","","","","",""
"678","7","7","7","678","678","678","8","8","8","678","678","678","5","5","5","678","678","678","7","7","7","678","678","678","5","5","5","65037","65037","65037","","","","","","","","","","","","","","","","","","","","","","","",""
"679","7","7","7","679","679","679","5","5","5","679","679","679","8","8","8","679","679","679","7","7","7","679","679","679","5","5","5","65093","65093","65093","","","","","","","","","","","","","","","","","","","","","","","",""
"680","3","3","3","680","680","680","4","4","4","680","680","680","8","8","8","680","680","680","7","7","7","680","680","680","5","5","5","65151","65151","65151","","","","","","","","","","","","","","","","","","","","","","","",""
"681","5","5","5","681","681","681","6","6","6","681","681","681","8","8","8","681","681","681","7","7","7","681","681","681","5","5","5","65210","65210","65210","","","","","","","","","","","","","","","","","","","","","","","",""
"682","3","3","3","682","682","682","4","4","4","682","682","682","8","8","8","682","682","682","7","7","7","682","682","682","5","5","5","65271","65271","65271","","","","","","","","","","","","","","","","","","","","","","","",""
"683","6","6","6","683","683","683","4","4","4","683","683","683","8","8","8","683","683","683","7","7","7","683","683","683","5","5","5","65330","65330","65330","","","","","","","","","","","","","","","","","","","","","","","",""
"684","5","5","5","684","684","684","6","6","6","684","684","684","2","2","2","684","684","684","7","7","7","684","684","684","5","5","5","65386","65386","65386","","","","","","","","","","","","","","","","","","","","","","","",""
"685","6","6","6","685","685","685","9","9","9","685","685","685","6","6","6","685","685","685","7","7","7","685","685","685","5","5","5","65444","65444","65444","","","","","","","","","","","","","","","","","","","","","","","",""
"686","7","7","7","686","686","686","7","7","7","686","686","686","6","6","6","686","686","686","7","7","7","686","686","686","5","5","5","65503","65503","65503","","","","","","","","","","","","","","","","","","","","","","","",""
"687","8","8","8","687","687","687","6","6","6","687","687","687","2","2","2","687","687","687","7","7","7","687","687","687","5","5","5","65563","65563","65563","","","","","","","","","","","","","","","","","","","","","","","",""
"688","6","6","6","688","688","688","6","6","6","688","688","688","7","7","7","688","688","688","8","8","8","688","688","688","5","5","5","65623","65623","65623","","","","","","","","","","","","","","","","","","","","","","","",""
"689","7","7","7","689","689","689","8","8","8","689","689","689","2","2","2","689","689","689","7","7","7","689","689","689","5","5","5","65680","65680","65680","","","","","","","","","","","","","","","","","","","","","","","",""
"690","5","5","5","690","690","690","4","4","4","690","690","690","7","7","7","690","690","690","5","5","5","690","690","690","5","5","5","65737","65737","65737","","","","","","","","","","","","","","","","","","","","","","","",""
"691","5","5","5","691","691","691","5","5","5","691","691","691","2","2","2","691","691","691","5","5","5","691","691","691","5","5","5","65797","65797","65797","","","","","","","","","","","","","","","","","","","","","","","",""
"692","3","3","3","692","692","692","6","6","6","692","692","692","6","6","6","692","692","692","5","5","5","692","692","692","5","5","5","65858","65858","65858","","","","","","","","","","","","","","","","","","","","","","","",""
"693","6","6","6","693","693","693","8","8","8","693","693","693","6","6","6","693","693","693","5","5","5","693","693","693","5","5","5","65918","65918","65918","","","","","","","","","","","","","","","","","","","","","","","",""
"694","5","5","5","694","694","694","7","7","7","694","694","694","2","2","2","694","694","694","6","6","6","694","694","694","5","5","5","65978","65978","65978","","","","","","","","","","","","","","","","","","","","","","","",""
"695","3","3","3","695","695","695","9","9","9","695","695","695","3","3","3","695","695","695","3","3","3","695","695","695","5","5","5","66031","66031","66031","","","","","","","","","","","","","","","","","","","","","","","",""
"696","7","7","7","696","696","696","5","5","5","696","696","696","6","6","6","696","696","696","5","5","5","696","696","696","5","5","5","66088","66088","66088","","","","","","","","","","","","","","","","","","","","","","","",""
"697","5","5","5","697","697","697","5","5","5","697","697","697","5","5","5","697","697","697","5","5","5","697","697","697","5","5","5","66148","66148","66148","","","","","","","","","","","","","","","","","","","","","","","",""
"698","3","3","3","698","698","698","5","5","5","698","698","698","2","2","2","698","698","698","5","5","5","698","698","698","5","5","5","66208","66208","66208","","","","","","","","","","","","","","","","","","","","","","","",""
"699","8","8","8","699","699","699","7","7","7","699","699","699","5","5","5","699","699","699","5","5","5","699","699","699","5","5","5","66268","66268","66268","","","","","","","","","","","","","","","","","","","","","","","",""
"700","6","6","6","700","700","700","8","8","8","700","700","700","5","5","5","700","700","700","6","6","6","700","700","700","5","5","5","66328","66328","66328","","","","","","","","","","","","","","","","","","","","","","","",""
"701","7","7","7","701","701","701","8","8","8","701","701","701","5","5","5","701","701","701","5","5","5","701","701","701","5","5","5","66382","66382","66382","","","","","","","","","","","","","","","","","","","","","","","",""
"702","5","5","5","702","702","702","2","2","2","702","702","702","5","5","5","702","702","702","8","8","8","702","702","702","5","5","5","66439","66439","66439","","","","","","","","","","","","","","","","","","","","","","","",""
"703","4","4","4","703","703","703","6","6","6","703","703","703","5","5","5","703","703","703","6","6","6","703","703","703","5","5","5","66497","66497","66497","","","","","","","","","","","","","","","","","","","","","","","",""
"704","5","5","5","704","704","704","7","7","7","704","704","704","4","4","4","704","704","704","7","7","7","704","704","704","5","5","5","66558","66558","66558","","","","","","","","","","","","","","","","","","","","","","","",""
"705","6","6","6","705","705","705","5","5","5","705","705","705","4","4","4","705","705","705","8","8","8","705","705","705","5","5","5","66618","66618","66618","","","","","","","","","","","","","","","","","","","","","","","",""
"706","5","5","5","706","706","706","3","3","3","706","706","706","4","4","4","706","706","706","6","6","6","706","706","706","5","5","5","66673","66673","66673","","","","","","","","","","","","","","","","","","","","","","","",""
"707","5","5","5","707","707","707","6","6","6","707","707","707","4","4","4","707","707","707","6","6","6","707","707","707","5","5","5","66730","66730","66730","","","","","","","","","","","","","","","","","","","","","","","",""
"708","7","7","7","708","708","708","7","7","7","708","708","708","4","4","4","708","708","708","6","6","6","708","708","708","5","5","5","66790","66790","66790","","","","","","","","","","","","","","","","","","","","","","","",""
"709","4","4","4","709","709","709","5","5","5","709","709","709","4","4","4","709","709","709","6","6","6","709","709","709","5","5","5","66849","66849","66849","","","","","","","","","","","","","","","","","","","","","","","",""
"710","6","6","6","710","710","710","5","5","5","710","710","710","4","4","4","710","710","710","6","6","6","710","710","710","5","5","5","66910","66910","66910","","","","","","","","","","","","","","","","","","","","","","","",""
"711","6","6","6","711","711","711","5","5","5","711","711","711","4","4","4","711","711","711","6","6","6","711","711","711","5","5","5","66970","66970","66970","","","","","","","","","","","","","","","","","","","","","","","",""
"712","2","2","2","712","712","712","4","4","4","712","712","712","4","4","4","712","712","712","8","8","8","712","712","712","5","5","5","67026","67026","67026","","","","","","","","","","","","","","","","","","","","","","","",""
"713","2","2","2","713","713","713","6","6","6","713","713","713","7","7","7","713","713","713","5","5","5","713","713","713","5","5","5","67082","67082","67082","","","","","","","","","","","","","","","","","","","","","","","",""
"714","5","5","5","714","714","714","5","5","5","714","714","714","4","4","4","714","714","714","8","8","8","714","714","714","5","5","5","67140","67140","67140","","","","","","","","","","","","","","","","","","","","","","","",""
